fid,NDVI_MEAN,NDVI_SHARE,GREEN_M2,NDVI_PX
635,0.052,0.0,0.0,17
636,0.034,0.0,0.0,15
637,0.029,0.0,0.0,16
638,0.039,0.0,0.0,17
639,0.038,0.0,0.0,17
640,0.035,0.0,0.0,17
641,0.039,0.0,0.0,17
642,0.044,0.0,0.0,17
643,0.049,0.0,0.0,17
644,0.035,0.0,0.0,16
645,0.055,0.0,0.0,16
646,0.05,0.0,0.0,16
647,0.046,0.0,0.0,15
648,0.046,0.0,0.0,16
649,0.049,0.0,0.0,14
650,0.05,0.0,0.0,14
651,0.066,0.0,0.0,15
652,0.056,0.0,0.0,17
653,0.053,0.0,0.0,16
654,0.049,0.0,0.0,17
655,0.04,0.0,0.0,17
656,0.029,0.0,0.0,17
657,0.041,0.0,0.0,18
658,0.041,0.0,0.0,16
659,0.044,0.0,0.0,17
660,0.005,0.0,0.0,15
661,0.032,0.0,0.0,15
662,0.04,0.0,0.0,18
663,0.05,0.0,0.0,17
664,0.04,0.0,0.0,17
665,0.049,0.0,0.0,18
666,0.046,0.0,0.0,14
667,0.031,0.0,0.0,15
668,0.04,0.0,0.0,16
669,0.049,0.0,0.0,17
670,0.066,0.0,0.0,16
671,0.085,0.0,0.0,15
672,0.076,0.0,0.0,16
673,0.063,0.0,0.0,16
674,0.065,0.0,0.0,15
675,0.057,0.0,0.0,16
676,0.067,0.0,0.0,31
677,0.063,0.0,0.0,233
678,0.06,0.0,0.0,29
679,0.069,0.0,0.0,16
680,0.075,0.0,0.0,17
681,0.069,0.0,0.0,16
682,0.067,0.0,0.0,16
683,0.05,0.0,0.0,16
684,0.056,0.0,0.0,14
685,0.084,0.0,0.0,17
686,0.067,0.0,0.0,16
687,0.085,0.0,0.0,16
688,0.093,0.0,0.0,15
689,0.087,0.0,0.0,16
690,0.087,0.0,0.0,15
691,0.092,0.0,0.0,17
692,0.094,0.0,0.0,16
693,0.09,0.0,0.0,16
694,0.088,0.0,0.0,14
695,0.089,0.0,0.0,15
696,0.096,0.0,0.0,17
697,0.097,0.0,0.0,16
698,0.087,0.0,0.0,16
699,0.09,0.0,0.0,16
700,0.08,0.0,0.0,17
701,0.073,0.0,0.0,14
702,0.082,0.0,0.0,16
703,0.086,0.0,0.0,16
704,0.082,0.0,0.0,16
705,0.095,0.0,0.0,17
706,0.083,0.0,0.0,15
707,0.084,0.0,0.0,16
708,0.086,0.0,0.0,17
709,0.086,0.0,0.0,16
710,0.08,0.0,0.0,16
711,0.087,0.0,0.0,15
712,0.079,0.0,0.0,17
713,0.079,0.0,0.0,15
714,0.08,0.0,0.0,16
715,0.084,0.0,0.0,14
716,0.088,0.0,0.0,16
717,0.093,0.0,0.0,17
718,0.094,0.0,0.0,15
719,0.092,0.0,0.0,18
720,0.088,0.0,0.0,16
721,0.092,0.0,0.0,15
722,0.097,0.0,0.0,17
723,0.083,0.0,0.0,4
724,0.087,0.0,0.0,3
725,0.067,0.0,0.0,16
726,0.088,0.0,0.0,14
727,0.076,0.0,0.0,17
728,0.091,0.0,0.0,14
729,0.088,0.0,0.0,16
730,0.085,0.0,0.0,16
731,0.081,0.0,0.0,16
732,0.082,0.0,0.0,15
733,0.085,0.0,0.0,15
734,0.079,0.0,0.0,17
735,0.082,0.0,0.0,16
736,0.057,0.0,0.0,17
737,0.053,0.0,0.0,17
738,0.092,0.0,0.0,16
739,0.074,0.0,0.0,17
740,0.066,0.0,0.0,16
741,0.076,0.0,0.0,17
742,0.059,0.0,0.0,18
743,0.07,0.0,0.0,16
744,0.069,0.0,0.0,16
745,0.06,0.0,0.0,18
746,0.054,0.0,0.0,17
747,0.064,0.0,0.0,16
748,0.061,0.0,0.0,17
