NODE,SUBNET,WAS_M,DIVERT_AT,DIVERT_DOWN_M,TO_NODE,TO_SUBNET,EXTRA_M,DEF_M,RESCUED
N009017,S027,12.15,N009060,2141.8,N009068,S108,105.7,12.89,0
N008752,S013,12.13,N007765,4642.9,N007736,S006,161.9,13.87,0
X000077,S012,12.13,N008125,5246.0,N008145,S104,63.1,12.35,0
N003085,S011,12.12,N001615,2979.2,N001264,S004,586.3,10.76,0
N008705,S012,12.12,N008125,2984.1,N008145,S104,63.1,12.33,0
N008056,S006,12.11,N007488,3425.5,N007474,S170,75.7,11.39,0
N008533,S013,12.11,N007765,3220.0,N007736,S006,161.9,13.84,0
N008689,S013,12.11,N007765,3961.9,N007736,S006,161.9,13.85,0
N008713,S012,12.11,N008125,3177.0,N008145,S104,63.1,12.33,0
N001409,S021,12.1,N001886,1037.4,N001826,S040,222.7,12.16,0
N008696,S013,12.09,N007765,4287.8,N007736,S006,161.9,13.82,0
N008733,S012,12.09,N008125,3222.0,N008145,S104,63.1,12.31,0
N008738,S012,12.09,N008125,3072.7,N008145,S104,63.1,12.31,0
N003057,S011,12.08,N001615,2915.0,N001264,S004,586.3,10.72,0
N006358,S010,12.08,N005516,3622.0,N005669,S141,298.8,14.83,0
N001076,S007,12.06,N001688,1510.3,N001734,S066,179.3,14.31,0
N008630,S013,12.06,N007765,3630.3,N007736,S006,161.9,13.8,0
N005271,S001,12.05,N005298,3499.4,N004766,S002,1536.5,12.92,0
N003453,S005,12.04,N002822,2238.7,N002836,S092,81.5,12.6,0
N008641,S017,12.04,N008055,5160.5,N008094,S104,80.1,12.54,0
N008682,S013,12.04,N007765,4204.9,N007736,S006,161.9,13.78,0
