MH_LABEL,LOADTYPE,BASEFLOW,PATTERN
MH-0953,Sanitary Pattern Load,0.0694,Fixed
MH-0934,Sanitary Pattern Load,0.0198,Fixed
MH-1001,Sanitary Pattern Load,0.0198,Fixed
MH-0894,Sanitary Pattern Load,0.0496,Fixed
MH-0946,Sanitary Pattern Load,0.0099,Fixed
MH-0952,Sanitary Pattern Load,0.0099,Fixed
MH-0891,Sanitary Pattern Load,0.0198,Fixed
MH-0938,Sanitary Pattern Load,0.0595,Fixed
MH-0916,Sanitary Pattern Load,0.0099,Fixed
MH-0881,Sanitary Pattern Load,0.0099,Fixed
MH-0878,Sanitary Pattern Load,0.0099,Fixed
MH-0854,Sanitary Pattern Load,0.0198,Fixed
MH-0835,Sanitary Pattern Load,0.0793,Fixed
MH-0890,Sanitary Pattern Load,0.0099,Fixed
MH-0514,Sanitary Pattern Load,0.0297,Fixed
MH-0555,Sanitary Pattern Load,0.0496,Fixed
MH-0813,Sanitary Pattern Load,0.0397,Fixed
MH-0716,Sanitary Pattern Load,0.0297,Fixed
MH-0771,Sanitary Pattern Load,0.0198,Fixed
MH-0758,Sanitary Pattern Load,0.0099,Fixed
MH-0810,Sanitary Pattern Load,0.0397,Fixed
MH-0743,Sanitary Pattern Load,0.0297,Fixed
MH-0747,Sanitary Pattern Load,0.0099,Fixed
MH-0733,Sanitary Pattern Load,0.0198,Fixed
MH-0661,Sanitary Pattern Load,0.0099,Fixed
MH-0700,Sanitary Pattern Load,0.0595,Fixed
MH-0633,Sanitary Pattern Load,0.0099,Fixed
MH-0623,Sanitary Pattern Load,0.0595,Fixed
MH-0608,Sanitary Pattern Load,0.0496,Fixed
MH-0578,Sanitary Pattern Load,0.0099,Fixed
MH-0590,Sanitary Pattern Load,0.0198,Fixed
MH-0506,Sanitary Pattern Load,0.0496,Fixed
MH-0516,Sanitary Pattern Load,0.0297,Fixed
MH-0502,Sanitary Pattern Load,0.0595,Fixed
MH-0457,Sanitary Pattern Load,0.0793,Fixed
MH-0426,Sanitary Pattern Load,0.0397,Fixed
MH-0447,Sanitary Pattern Load,0.0991,Fixed
MH-0554,Sanitary Pattern Load,0.0397,Fixed
MH-0559,Sanitary Pattern Load,0.0099,Fixed
MH-0291,Sanitary Pattern Load,0.0496,Fixed
MH-0272,Sanitary Pattern Load,0.119,Fixed
MH-0527,Sanitary Pattern Load,0.0397,Fixed
MH-0551,Sanitary Pattern Load,0.119,Fixed
MH-0538,Sanitary Pattern Load,0.0198,Fixed
MH-0589,Sanitary Pattern Load,0.0694,Fixed
MH-0547,Sanitary Pattern Load,0.0694,Fixed
MH-0518,Sanitary Pattern Load,0.0595,Fixed
MH-0243,Sanitary Pattern Load,0.0099,Fixed
MH-0403,Sanitary Pattern Load,0.0099,Fixed
MH-0420,Sanitary Pattern Load,0.0099,Fixed
MH-0478,Sanitary Pattern Load,0.1487,Fixed
MH-0446,Sanitary Pattern Load,0.0793,Fixed
