LABEL,DIA_MM,SLOPE_PMIL,OUR_Q_LS,OUR_V_MS,OUR_DOD,SG_Q_LS,SG_V_MS,SG_DOD,DQ_PCT,DV_PCT
P-0581,200,9.144,0.0,0.016,0.004,,,,,
P-0582,200,5.0,0.53,0.304,0.114,,,,,
P-0583,200,5.0,2.77,0.503,0.252,,,,,
P-0584,200,5.0,2.77,0.503,0.252,,,,,
P-0585,200,5.0,3.01,0.516,0.263,,,,,
P-0586,200,5.0,3.05,0.518,0.265,,,,,
P-0587,200,16.544,0.25,0.551,0.045,,,,,
P-0588,200,5.0,4.79,0.59,0.334,,,,,
P-0589,200,5.0,5.45,0.611,0.357,,,,,
P-0590,200,5.0,0.74,0.338,0.133,,,,,
P-0591,200,5.0,5.45,0.611,0.357,,,,,
P-0592,200,5.0,5.45,0.611,0.357,,,,,
P-0593,200,5.0,5.45,0.611,0.357,,,,,
P-0594,200,5.0,0.53,0.304,0.114,,,,,
P-0595,200,9.144,0.04,0.166,0.028,,,,,
P-0596,200,45.225,0.99,0.792,0.091,,,,,
P-0597,200,46.576,1.06,0.818,0.093,,,,,
P-0598,200,5.0,1.24,0.395,0.17,,,,,
P-0599,200,5.0,1.24,0.395,0.17,,,,,
P-0600,200,5.0,1.24,0.395,0.17,,,,,
P-0601,200,13.928,1.14,0.385,0.163,,,,,
P-0602,200,13.928,1.6,0.625,0.147,,,,,
P-0603,200,13.928,1.63,0.578,0.158,,,,,
P-0604,200,13.928,1.67,0.688,0.142,,,,,
P-0605,200,13.928,1.67,0.433,0.196,,,,,
P-0606,200,40.137,2.2,0.976,0.135,,,,,
P-0607,200,11.853,1.28,0.54,0.14,,,,,
P-0608,200,5.0,0.35,0.267,0.094,,,,,
P-0609,200,31.006,0.18,0.398,0.045,,,,,
P-0610,200,29.512,2.38,0.898,0.151,,,,,
P-0611,200,7.549,0.64,0.371,0.112,,,,,
P-0612,200,60.911,0.57,0.733,0.065,,,,,
P-0613,200,9.977,0.5,0.378,0.094,,,,,
P-0614,200,7.297,0.53,0.346,0.104,,,,,
P-0615,200,5.0,0.0,0.033,0.008,,,,,
P-0616,200,6.474,0.57,0.339,0.11,,,,,
P-0617,200,5.0,3.26,0.528,0.274,,,,,
P-0618,200,5.0,3.12,0.521,0.268,,,,,
P-0619,200,5.0,3.16,0.523,0.269,,,,,
P-0620,200,5.0,3.23,0.526,0.272,,,,,
P-0621,200,5.0,8.22,0.683,0.447,,,,,
P-0622,200,5.0,1.56,0.424,0.19,,,,,
P-0623,200,5.0,1.59,0.427,0.192,,,,,
P-0624,200,5.0,0.18,0.214,0.069,,,,,
P-0625,200,5.0,1.77,0.44,0.202,,,,,
P-0626,200,5.0,0.82,0.347,0.139,,,,,
P-0627,200,5.0,5.54,0.614,0.36,,,,,
P-0628,200,67.289,0.0,0.035,0.003,,,,,
P-0629,200,29.546,0.46,0.535,0.07,,,,,
P-0630,200,23.526,0.11,0.327,0.037,,,,,
P-0631,200,23.526,0.0,0.031,0.004,,,,,
P-0632,200,17.715,0.21,0.374,0.053,,,,,
P-0633,200,17.715,0.14,0.358,0.042,,,,,
P-0634,200,17.715,0.0,0.026,0.004,,,,,
P-0635,200,7.924,0.0,0.019,0.004,,,,,
P-0636,200,14.761,0.35,0.388,0.073,,,,,
P-0637,200,40.47,0.28,0.508,0.052,,,,,
P-0638,200,5.0,8.38,0.687,0.452,,,,,
P-0639,200,5.0,0.0,0.016,0.004,,,,,
P-0640,200,5.0,8.77,0.695,0.463,,,,,
P-0641,200,5.0,0.35,0.267,0.094,,,,,
P-0642,200,5.0,0.14,0.198,0.062,,,,,
