PIPE_ID,CATCH,TIER,ROLE,DN_MM,LEN_M,SLOPE_PCT,Q_LOW_LS,V_LOW_MS,S_MARA_PCT,CONNECTED_2030,WHY
P07760,C111,secondary header,sub main,200,184.3,0.5,0.077,0.162,1.831,0.5,below Mara's slope
P07761,C111,secondary main sewer,lateral,200,143.8,0.5,0.058,0.147,2.085,0.3,below Mara's slope
P07762,C53,secondary header,sub main,200,492.2,0.5,0.147,0.2,1.363,1.7,below Mara's slope
P07764,C03,secondary main sewer,lateral,200,33.4,0.5,0.04,0.13,2.473,0.1,below Mara's slope
P07765,C05,secondary header,sub main,200,77.1,0.5,0.348,0.265,0.916,5.0,below Mara's slope
P07767,C01,secondary main sewer,lateral,200,33.6,2.15,0.0,0.0,,0.0,no flow in 2030
P07769,C05,secondary header,sub main,200,77.2,0.5,0.457,0.289,0.808,9.4,below Mara's slope
P07770,C05,secondary header,sub main,200,296.2,0.5,1.127,0.384,0.533,34.3,below Mara's slope
P07771,C115,secondary main sewer,lateral,200,82.5,0.5,0.215,0.227,1.142,3.4,below Mara's slope
P07772,C115,secondary main sewer,lateral,200,156.2,0.5,0.182,0.215,1.233,2.6,below Mara's slope
P07773,C03,secondary header,sub main,200,85.4,0.5,0.158,0.205,1.318,1.7,below Mara's slope
P07774,C75,secondary header,sub main,200,85.9,0.5,0.418,0.281,0.842,7.9,below Mara's slope
P07775,C03,secondary main sewer,lateral,200,114.0,0.5,0.08,0.164,1.8,0.4,below Mara's slope
P07776,C03,secondary header,sub main,200,153.3,0.5,0.696,0.33,0.665,16.7,below Mara's slope
P07778,C03,secondary main sewer,lateral,200,88.5,0.5,0.779,0.342,0.631,19.7,below Mara's slope
P07779,C08,secondary header,sub main,200,93.4,0.5,0.205,0.224,1.169,4.0,below Mara's slope
P07780,C05,secondary header,sub main,200,95.3,0.5,0.163,0.207,1.299,1.5,below Mara's slope
P07781,C111,secondary header,sub main,200,1106.1,0.5,0.077,0.162,1.831,0.5,below Mara's slope
P07782,C01,secondary main sewer,lateral,200,92.7,0.5,0.06,0.148,2.066,0.3,below Mara's slope
P07783,C03,secondary main sewer,lateral,200,82.3,0.5,0.239,0.235,1.088,3.2,below Mara's slope
P07784,C03,secondary main sewer,lateral,200,86.0,0.5,0.383,0.274,0.876,6.9,below Mara's slope
P07785,C01,secondary main sewer,lateral,200,32.3,0.5,0.094,0.173,1.674,0.7,below Mara's slope
P07786,C01,secondary main sewer,lateral,200,27.9,0.5,0.013,0.087,4.136,0.0,below Mara's slope
P07787,C01,secondary main sewer,lateral,200,15.2,0.5,0.276,0.246,1.019,4.5,below Mara's slope
P07788,C01,secondary main sewer,lateral,200,74.5,0.5,0.342,0.264,0.923,6.3,below Mara's slope
P07789,C01,secondary main sewer,lateral,200,32.3,0.65,0.218,0.25,1.137,3.0,below Mara's slope
P07790,C01,secondary main sewer,lateral,200,22.8,0.5,0.441,0.286,0.821,9.3,below Mara's slope
P07791,C03,secondary header,sub main,200,89.8,0.5,0.323,0.259,0.948,5.5,below Mara's slope
P07792,C03,secondary header,sub main,200,156.4,0.5,0.0,0.0,,0.0,no flow in 2030
P07793,C75,secondary main sewer,lateral,200,49.0,0.5,0.33,0.261,0.938,5.6,below Mara's slope
P07794,C75,secondary main sewer,lateral,200,127.4,0.6,0.386,0.292,0.873,7.1,below Mara's slope
P07795,C75,secondary header,sub main,200,38.6,0.5,0.83,0.349,0.613,22.1,below Mara's slope
P07799,C111,secondary header,sub main,200,217.0,0.5,0.048,0.137,2.291,0.2,below Mara's slope
P07800,C111,secondary header,sub main,200,37.6,2.45,0.024,0.185,3.12,0.1,below Mara's slope
P07801,C05,secondary header,sub main,200,104.3,0.5,0.766,0.341,0.636,16.1,below Mara's slope
P07802,C75,secondary header,sub main,200,93.6,0.5,0.601,0.316,0.712,14.0,below Mara's slope
P07803,C05,secondary header,sub main,200,49.5,0.5,0.392,0.276,0.867,6.3,below Mara's slope
P07804,C05,secondary main sewer,lateral,200,51.0,0.5,0.042,0.131,2.436,0.1,below Mara's slope
P07806,C05,secondary header,sub main,200,331.3,0.5,0.356,0.267,0.906,6.2,below Mara's slope
P07807,C08,secondary main sewer,lateral,200,176.9,0.5,0.311,0.256,0.964,6.1,below Mara's slope
P07808,C53,secondary header,sub main,200,101.9,0.5,0.111,0.183,1.55,1.0,below Mara's slope
P07809,C08,secondary main sewer,lateral,200,62.0,0.5,0.069,0.155,1.935,0.6,below Mara's slope
P07810,C03,secondary main sewer,lateral,200,84.2,0.5,0.737,0.336,0.648,18.2,below Mara's slope
