node,depth,recover_m,best_depth,q
18687,14.088354913056207,339.6482827261274,1.8,1558.4195838749993
24090,13.830290356959893,295.36282243627716,1.6,396.40414055872
19703,14.380130784108644,533.9481790037726,1.65,718.5736745382658
24927,12.575860302440958,44.7010369976764,0.49630182403598155,1341.3565450719839
18962,12.149563739545727,61.785521530697345,2.0,3709.3683109880217
18607,15.858845631431791,166.36688465897743,1.6,43.24464569599999
18615,16.170576150491684,989.3987231586829,1.6,327.159586309505
18930,22.07986530816089,253.87015403775888,1.6,6.140514239999999
18545,12.727088650516976,548.7289733444436,1.6,132.5060384609421
18502,13.493949759075406,42.98003171857158,1.6,9.913815744
18822,16.86998592417973,779.2871911963705,1.6,35.90932262980105
18499,13.059094703243204,280.83186521476716,1.6,38.87575462980105
19391,12.314485418168715,568.8671872162729,1.6,426.72237792549254
19403,12.24131368577531,214.620380557547,1.8,1458.267876315997
22045,13.019561609526136,13.529631389803896,1.9,2102.186156225768
19577,12.080889847961316,231.79136348431976,-10.550038210425384,5411.688605089069
18925,14.506452615362377,710.6174978481705,-7.780134070629515,5780.590191452319
18921,13.126892883296364,684.1535237260393,-10.795509992557811,5973.232334201235
18195,22.70052286296385,1150.7596066528808,1.6,29.154093695999997
17337,12.686188330024947,77.69428151606509,1.6,356.07295946119405
7195,12.276018201475665,60.883014724552915,1.9,1869.6051220203674
15337,12.066441210604864,86.09623626112251,1.6,69.00025646968021
7343,12.290525751059874,155.65951500981407,1.715,1032.9323303867347
13751,12.678599754368292,138.32652222374566,1.6,9.884199054443638
13685,12.17487464339473,178.02686843895594,1.6,0.0
13621,14.457998028128884,178.73271202096163,1.6,28.519277247999995
13531,13.21702207149167,95.4921096327345,1.6,10.655423744
8077,12.990334266010393,311.2338931225843,1.6,30.405928000000003
76,13.106258736359564,155.85235119326643,1.6,17.726987122884726
13355,14.175725354606243,632.2467720648965,1.6,2.966432
13353,15.036624485324523,211.69242681796325,1.6,2.966432
3199,14.935772201202894,32.41345123462104,1.65,606.3030946267403
13205,12.058617630087554,102.48629882118308,1.6,118.55477153062424
3203,15.486093406646773,117.63407635158212,1.6,330.850338947849
13103,15.484867096597156,180.08220878933716,1.6,5.58810107341557
13075,12.165738781260188,156.2012925252268,1.6,6.176159054443639
13087,12.707476219615273,277.9816640792703,1.6,66.55543991732367
13071,12.51158208414762,279.6218871232928,1.6,39.99376963710547
13067,15.766236041605566,222.84175055319187,1.6,122.81921894178959
13059,15.92181073462666,17.0431838505516,1.6,133.50369782164879
13047,20.355207433018904,24.465662228118298,1.6,133.50369782164879
13043,16.5611664476271,1145.9957991952974,1.6,166.82678200445824
7128,32.94901904713129,605.6261402008774,1.6,168.98634450045822
11433,12.312528560354565,88.08115368917159,1.6,116.07657942088728
11405,12.140729279090749,84.37551451410819,1.6,19.436062464
11299,12.641908597763916,288.6213583979437,1.6,72.07688340499553
