ZONE2,plots,landuses,pkg,len_m,chambers,props_direct
5A-5-75,3,0,5A-5,21.2,1,1
5A-5-76,21,2,5A-5,270.9,8,8
5A-5-77,2,1,5A-5,21.5,1,1
5A-5-78,3,0,5A-5,33.7,1,0
5A-5-79,29,2,5A-5,502.6,17,9
5A-5-8,5,1,5A-5,131.0,4,12
5A-5-80,2,0,5A-5,31.8,1,1
5A-5-81,2,1,5A-5,33.0,1,1
5A-5-82,3,1,5A-5,25.5,1,2
5A-5-83,21,1,5A-5,240.3,7,17
5A-5-84,2,0,5A-5,30.4,1,3
5A-5-85,4,0,5A-5,27.4,1,1
5A-5-86,2,0,5A-5,27.1,1,3
5A-5-87,9,0,5A-5,129.5,5,3
5A-5-89,2,0,5A-5,24.4,1,2
5A-5-9,3,0,5A-5,88.5,3,12
5A-5-90,18,1,5A-5,276.3,9,2
5A-5-91,3,1,5A-5,33.4,1,2
5A-5-92,2,0,5A-5,12.9,1,3
5A-5-93,3,1,5A-5,25.1,1,0
5A-5-94,2,0,5A-5,16.9,1,0
5A-5-95,8,1,5A-5,60.1,2,4
5A-5-96,42,1,5A-5,385.1,13,15
5A-5-97,5,1,5A-5,19.0,1,1
5A-5-98,38,2,5A-5,304.8,11,15
5A-5-99,68,1,5A-5,889.1,28,37
