BR_ID,KM,PLOTS,PROPS,POP,Q_M3D,M_PER_PRP,M_PER_M3D,N_LIFT,LIFT_M,OUT_X,OUT_Y,OUT_Z,ROUTE_KM,VILLAGE
96,1.897,0,0.0,0,0.0,1897477621446.2,1897477621446.2,1,13.2,441398.7,2565675.7,321.9,15.09,-
928,1.896,4,5.8,31,4.319,325.5,438.9,0,0.0,455200.9,2577019.8,405.6,56.78,-
1778,1.855,5,2.0,11,1.483,927.3,1250.4,0,0.0,469976.3,2563746.1,418.3,109.24,-
741,1.783,4,4.0,16,2.788,445.8,639.5,0,0.0,445592.6,2558963.1,316.8,41.87,-
860,1.783,3,4.0,21,2.966,445.8,601.1,1,11.5,458969.4,2566958.1,375.6,47.26,-
1161,1.773,6,4.4,23,3.239,405.8,547.2,0,0.0,460425.8,2579786.9,434.9,72.53,AL DARIZ (P.A.)-E
654,1.663,4,0.0,0,0.0,1663083091948.5,1663083091948.5,0,0.0,448548.9,2562541.3,331.7,35.56,AL SULAIF
73,1.63,5,2.9,15,2.16,559.9,755.0,1,11.3,447182.7,2562412.8,329.7,12.28,-
90,1.628,2,0.0,0,0.0,1628132515208.5,1628132515208.5,0,0.0,444217.2,2566873.9,331.6,14.44,-
926,1.612,1,0.0,0,0.0,1612405431322.1,1612405431322.1,0,0.0,462922.4,2565965.2,390.0,56.53,-
699,1.559,4,1.0,5,0.742,1558.8,2102.0,0,0.0,455438.4,2569312.6,367.3,43.4,AL TAYYEB
67,1.547,0,0.0,0,0.0,1546722682469.3,1546722682469.3,0,0.0,443704.6,2560787.9,316.5,12.02,-
1122,1.529,2,21.0,90,14.861,72.8,102.9,0,0.0,465761.8,2565886.4,402.0,72.83,-
718,1.504,0,0.0,0,0.0,1504084035548.9,1504084035548.9,1,10.6,434002.7,2575136.9,314.5,44.23,-
206,1.441,0,0.0,0,0.0,1440919563752.9,1440919563752.9,0,0.0,443041.3,2558860.5,312.3,19.14,-
502,1.432,3,5.4,21,7.998,263.1,179.0,0,0.0,450252.6,2571988.0,370.2,31.81,-
559,1.373,1,1.5,0,5.096,897.5,269.4,0,0.0,436579.1,2574466.2,328.6,34.6,HAI AL SAADAH -S2
1058,1.336,0,0.0,0,0.0,1335745257351.5,1335745257351.5,0,0.0,454264.5,2565228.8,363.7,66.95,-
1548,1.336,27,33.5,178,24.835,39.9,53.8,0,0.0,451451.9,2563006.4,348.8,85.02,SULAIF AL (P.A.)-C
595,1.33,0,0.0,0,0.0,1330121083891.4,1330121083891.4,0,0.0,450031.9,2573457.1,378.4,34.3,-
39,1.303,0,0.0,0,0.0,1302909982266.4,1302909982266.4,0,0.0,447269.9,2567517.6,345.1,9.07,-
1642,1.302,20,11.8,39,7.963,110.3,163.5,0,0.0,474392.6,2571767.4,495.0,90.8,BAT
1486,1.238,0,0.0,0,0.0,1237684507873.6,1237684507873.6,0,0.0,458854.3,2579048.4,424.7,73.37,-
1463,1.202,3,4.4,23,3.239,275.2,371.1,0,0.0,464460.9,2579280.3,433.8,78.16,AL DIREZ
1589,1.182,0,0.0,0,0.0,1182122525348.8,1182122525348.8,0,0.0,470903.8,2563821.6,423.9,88.1,-
1720,1.169,0,0.0,0,0.0,1168603213857.1,1168603213857.1,0,0.0,476876.6,2575623.6,518.9,97.48,-
1790,1.15,0,0.0,0,0.0,1150471170346.1,1150471170346.1,0,0.0,471543.0,2562373.2,426.9,116.12,-
209,1.093,3,3.5,13,2.385,316.3,458.3,0,0.0,451136.0,2567493.6,357.7,19.09,-
1573,1.09,1,0.0,0,0.0,1089912752600.6,1089912752600.6,1,10.4,451127.4,2562875.4,349.1,85.1,-
1651,1.069,7,3.9,21,2.901,273.3,368.6,0,0.0,475063.8,2571738.0,496.2,91.18,BAT
106,1.038,1,1.0,5,0.742,1038.4,1400.3,0,0.0,446604.8,2560696.4,324.7,10.73,-
1389,1.024,0,0.0,0,0.0,1024193686182.5,1024193686182.5,0,0.0,454700.1,2565962.4,360.1,76.02,-
414,0.964,1,1.0,5,0.742,964.4,1300.4,0,0.0,448299.6,2570963.0,369.4,30.2,-
704,0.955,0,0.0,0,0.0,954893645338.4,954893645338.4,0,0.0,433920.1,2575922.4,316.6,42.9,-
1784,0.947,0,0.0,0,0.0,946516980830.7,946516980830.7,0,0.0,473562.1,2561037.6,435.5,114.08,-
790,0.926,4,2.0,11,1.483,463.2,624.6,1,11.0,460130.6,2567637.3,382.1,46.47,-
648,0.926,12,10.4,0,10.094,89.0,91.7,0,0.0,434445.9,2576228.2,320.4,40.66,HAI AL SAADAH -S2
1544,0.917,8,19.1,54,12.556,48.1,73.0,0,0.0,450670.6,2563643.2,341.9,83.6,SULAIF AL (P.A.)-C
901,0.914,5,7.5,40,5.529,122.6,165.3,0,0.0,452852.6,2576770.4,395.0,56.03,-
715,0.909,0,0.0,0,0.0,908794690151.6,908794690151.6,0,0.0,450761.8,2571620.3,371.2,46.09,-
