DEPTH_M,EXC_M,STATUS,MAXDEPTH_NOPS,recover_m,best_depth,q,diff
12.416,37.3,REBREACH,12.7,37.3438518619448,1.6,147.78180463688727,0.0
12.423,21.8,REBREACH,13.28,21.77063808580585,0.819096757921443,1.079781248,0.0
12.452,35.8,REBREACH,13.05,35.84460817987945,1.6,177.55984957212382,0.0
12.46,61.8,REBREACH,13.79,61.84885034248919,1.6,20.51984578894632,0.0
12.462,171.7,REBREACH,12.46,171.70557571961606,1.715,1033.7751495827656,0.0
12.465,70.7,REBREACH,12.47,70.65227802592038,1.6,90.18316250180108,0.0
12.468,589.4,REBREACH,18.18,589.385662668152,1.6,127.40332205523656,0.0
12.483,83.4,REBREACH,15.61,83.44450630226976,1.6,30.8054785569168,0.0
12.488,20.0,REBREACH,12.74,19.973088326441516,1.6,250.6492815100113,0.0
12.501,96.9,REBREACH,13.05,96.94397012243115,1.6,71.07004569420928,0.0
12.504,194.8,REBREACH,12.96,194.7532452295794,1.6,236.01943037325304,0.0
12.509,2.4,REBREACH,12.56,2.402931478484219,1.6,41.126613248,0.0
12.512,279.6,REBREACH,15.31,279.6218871232928,1.6,39.99376963710547,0.0
12.519,2.8,REBREACH,12.56,2.8018184500478998,1.65,582.8331877819936,0.0
12.52,86.3,REBREACH,12.53,86.32046614676976,1.6,72.345343616,0.0
12.533,60.1,REBREACH,13.09,60.0516186826966,1.6,381.7313780505693,0.0
12.54,1172.0,REBREACH,13.42,178.9200008868009,1.6,227.41003101620373,993.1
12.544,40.3,REBREACH,12.69,40.31777981507141,0.9005926993759203,61.732169662388,0.0
12.547,171.5,REBREACH,13.81,171.46928945441476,1.6,309.4437794295427,0.0
12.553,132.3,REBREACH,12.55,3.9999999393932537,1.6,26.323789160707783,128.3
12.564,237.8,REBREACH,13.99,237.81294165497147,1.65,417.2505409697738,0.0
12.566,134.1,REBREACH,16.52,134.07573426678158,1.6,13.520914954176943,0.0
12.576,3086.9,CONVERGED,12.58,44.7010369976764,0.4963018240359815,1341.356545071984,3042.2000000000003
12.586,246.5,REBREACH,14.94,145.277117265075,1.715,776.7521123398241,101.19999999999999
12.587,94.1,REBREACH,12.69,94.14972882639935,1.8,1553.4582010750294,0.0
12.593,1704.1,REBREACH,13.97,1704.1346234376422,1.6,193.49998829351543,0.0
12.602,694.6,CONVERGED,12.6,26.018065217049603,1.6,1.079781248,668.6
12.607,190.1,REBREACH,12.77,190.06298874983275,1.6,203.80813197634657,0.0
12.636,46.4,REBREACH,12.64,46.35250038692556,1.6,214.31713413160816,0.0
12.642,288.6,REBREACH,14.77,288.6213583979437,1.6,72.07688340499553,0.0
12.656,454.9,REBREACH,17.72,454.9189101706858,1.6,282.90468801447315,0.0
12.665,31.0,REBREACH,12.67,30.987336407821243,1.6,4.5444917221769465,0.0
12.672,38.8,REBREACH,13.0,38.820852585607874,1.65,582.0604796075006,0.0
12.679,138.3,REBREACH,13.93,138.32652222374566,1.6,9.884199054443638,0.0
12.686,77.7,REBREACH,16.99,77.69428151606509,1.6,356.07295946119405,0.0
12.698,133.6,REBREACH,12.74,133.63727698753647,1.5559367372752035,41761.08296019996,0.0
12.707,278.0,REBREACH,16.42,277.9816640792703,1.6,66.55543991732367,0.0
12.708,215.4,REBREACH,13.96,215.3906938959268,1.6,308.88623787872706,0.0
