Pipe,US manhole,DS manhole,US invert (m),DS invert (m),US depth (m),DS depth (m),Length (m),DN (mm),Material,Laid gradient (%),Minimum gradient (%),Gradient set by,Diameter set by,Peak factor,PF method,Qadf (m3/d),Qpeak (L/s),Velocity (m/s),d/D,Self-cleansing by,Tier,Package,Confidence
E0000657,N0000436,N0000438,379.8340441894531,379.6540441894532,2.2553112792969046,2.8348474121092977,119.9999999999183,700,GRP,0.15,0.1,cover_min,dod,2.1597966969091256,merrimack,5421.969065690378,136.3929854080054,0.864248465462842,0.4291382213675714,velocity,trunk main,,drafted
E0000658,N0000438,N0000440,379.6540441894532,379.5340441894532,2.8348474121092977,2.6938916015624272,120.00000000002922,700,GRP,0.1,0.1,table11,dod,2.1523126179950998,merrimack,5579.764709752335,139.87622878104776,0.7464127377830639,0.48974502764715666,tractive,trunk main,,drafted
E0000659,N0000440,N0000442,379.4340441894532,379.3140441894532,2.79389160156245,3.7078674316405227,119.99999999994937,800,GRP,0.1,0.08499999999999999,table11,dod,2.1163589207518774,merrimack,6413.261258361519,158.08291596826933,0.7673040056303654,0.4289735625265553,velocity,trunk main,,drafted
E0000660,N0000442,N0000444,379.3140441894532,379.1940441894532,3.7078674316405227,3.5401171874999022,120.0000000000055,800,GRP,0.1,0.08499999999999999,table11,dod,2.1012934496210582,merrimack,6803.312035965859,166.5039156961293,0.7775323043554614,0.4417690909558052,velocity,trunk main,,drafted
E0000661,N0000444,N0000446,379.1940441894532,379.0740441894532,3.5401171874999022,5.497427978515532,119.9999999999803,800,GRP,0.1,0.08499999999999999,table11,dod,2.09323233177833,merrimack,7022.892668615146,171.21928855623813,0.7830503107590407,0.4488629054884369,velocity,trunk main,,drafted
E0000662,N0000446,N0000448,379.0740441894532,378.95404418945304,5.497427978515532,6.173122558593832,120.00000000016539,800,GRP,0.1,0.08499999999999999,table11,dod,2.082941700304529,merrimack,7314.836488714386,177.4609926474613,0.7901363600161899,0.45818242995525704,velocity,trunk main,,drafted
E0000663,N0000448,N0000450,378.95404418945304,378.8340441894531,6.173122558593832,5.524781494140655,119.99999999995413,800,GRP,0.1,0.08499999999999999,table11,dod,2.075300917692957,merrimack,7540.410799775671,182.26342107933718,0.7954267253251004,0.4653030067350692,velocity,trunk main,,drafted
E0000664,N0000450,N0000452,378.8340441894531,378.71404418945315,5.524781494140655,3.4968322753906023,119.99999999994674,800,GRP,0.1,0.08499999999999999,table11,dod,2.0697109654776265,merrimack,7710.380537874297,185.87086467287156,0.7993118335682252,0.47062559420738204,velocity,trunk main,,drafted
E0000665,N0000452,N0000454,378.71404418945315,378.59404418945314,3.4968322753906023,3.931865234374982,120.00000000003084,800,GRP,0.1,0.08499999999999999,table11,dod,2.052378675372184,merrimack,8265.31370545342,197.58124520665743,0.8114246774802103,0.48776716967438905,velocity,trunk main,,drafted
E0000666,N0000454,N0000456,378.59404418945314,378.4740441894532,3.931865234374982,4.0999304199218045,119.99999999997446,800,GRP,0.1,0.08499999999999999,table11,dod,2.0461336241749786,merrimack,8476.125330405446,202.00540739233446,0.8158117250043303,0.49419575325476206,velocity,trunk main,,drafted
E0000667,N0000456,N0000458,378.37404418945323,378.2540441894532,4.19993041992177,2.751693115234275,120.00000000000361,900,GRP,0.1,0.075,table11,dod,2.033862216500563,merrimack,8908.159399875307,211.03028823984474,0.8225170344013524,0.42375308929837374,velocity,trunk main,,drafted
E0000668,N0000458,N0000460,378.2540441894532,378.1340441894532,2.751693115234275,4.1934094238280295,119.99999999999082,900,GRP,0.1,0.075,table11,dod,2.0254641783640044,merrimack,9218.046654918893,217.47140584065713,0.8288702827501461,0.4309958803741383,velocity,trunk main,,drafted
E0000669,N0000460,N0000462,378.1340441894532,378.01404418945333,4.1934094238280295,4.587060546874795,119.99999999990101,900,GRP,0.1,0.075,table11,dod,2.0192289214240233,merrimack,9455.948327120675,222.3988299969457,0.8336144406654656,0.43649843427730206,velocity,trunk main,,drafted
E0000670,N0000462,N0000464,378.01404418945333,377.8940441894532,4.587060546874795,4.698790283203039,120.00000000011792,900,GRP,0.1,0.075,table11,dod,2.0155216091180606,merrimack,9600.656955836006,225.38912505143546,0.8364460954478475,0.43982251760118785,velocity,trunk main,,drafted
E0000671,N0000464,N0000466,377.8940441894532,377.7740441894532,4.698790283203039,4.552371826171793,119.99999999998042,900,GRP,0.1,0.075,table11,dod,2.0117725106231514,merrimack,9749.526125869197,228.45971911332688,0.8393174376252547,0.4432243955609795,velocity,trunk main,,drafted
E0000672,N0000466,N0000468,377.7740441894532,377.65404418945326,4.552371826171793,4.152993164062366,119.99999999995276,900,GRP,0.1,0.075,table11,dod,2.0083102230598584,merrimack,9889.308126671885,231.33781463521487,0.8419759917614585,0.446402828055501,velocity,trunk main,,drafted
E0000673,N0000468,N0000470,377.65404418945326,377.5340441894532,4.152993164062366,3.7702465820311772,120.00000000005902,900,GRP,0.1,0.075,table11,dod,2.0051340599327956,merrimack,10019.51674051033,234.01446770204768,0.8444205358155434,0.449350261667958,velocity,trunk main,,drafted
E0000674,N0000470,N0000472,377.5340441894532,377.41404418945325,3.7702465820311772,3.3825256347655,119.99999999995109,900,GRP,0.1,0.075,table11,dod,2.0022360714397256,merrimack,10140.000039979368,236.48755365758706,0.8466556487720036,0.4520664601501102,velocity,trunk main,,drafted
E0000675,N0000472,N0000474,377.7140441894532,376.81404418945255,3.0825256347655454,2.02576904296933,120.0000000000888,600,GRP,0.75,0.125,cover_min,dod,1.9970559834110186,merrimack,10359.429063688285,240.98178328683005,1.8338307857849887,0.4723116293969384,velocity,trunk main,,drafted
