PLOT_ID,X,Y,REACH,STATION_M,SHORT_BY_M,CH_REQ,ISSUE
1116135,459041.8158773887,2569374.391913377,E0026883,41.67,40.6,R00323,beyond the 45 m tertiary run
1116161,459330.6774770131,2569330.3298951155,E0028093,47.09,21.29,R00348,beyond the 45 m tertiary run
1116183,459384.1741523369,2568690.7639578874,E0024743,16.4,3.6,R00279,beyond the 45 m tertiary run
1116237,453997.71833713993,2569340.0867161443,E0023789,12.12,9.54,R00264,beyond the 45 m tertiary run
1116243,454023.72184927476,2569323.966689979,E0023789,42.71,4.96,R00264,beyond the 45 m tertiary run
1116262,453861.3432726046,2569302.490123039,E0023796,23.82,21.77,R00265,beyond the 45 m tertiary run
1116292,454099.1665824977,2569103.0968184834,E0022504,26.12,20.43,R00241,beyond the 45 m tertiary run
1116294,454090.72276894684,2569089.801371652,E0022504,41.87,36.18,R00242,beyond the 45 m tertiary run
1116468,455929.36103613523,2570955.590720775,E0027901,70.57,8.75,R00346,beyond the 45 m tertiary run
1116474,456021.84095826244,2570955.223415671,E0027900,58.09,16.75,R00344,beyond the 45 m tertiary run
1116476,455979.7180484111,2570955.390716415,E0027901,20.21,20.21,R00345,beyond the 45 m tertiary run
1116480,455958.13604177604,2570793.614586747,E0027886,15.84,2.48,R00343,beyond the 45 m tertiary run
1116565,457632.7692375184,2570585.462495034,E0024918,8.25,4.97,R00283,beyond the 45 m tertiary run
1116582,457302.3692763968,2570570.4937760876,E0025551,12.25,9.66,R00293,beyond the 45 m tertiary run
1116743,456138.98023688747,2570922.045816588,E0028870,15.89,0.83,R00367,beyond the 45 m tertiary run
1116768,457648.4586700785,2570883.645207535,E0025105,39.99,5.28,R00289,beyond the 45 m tertiary run
1116820,457411.61652868945,2571031.9208670906,E0027161,40.6,36.03,R00328,beyond the 45 m tertiary run
1116835,457376.7585594125,2570993.935315364,E0027162,26.29,23.47,R00329,beyond the 45 m tertiary run
1116895,454558.02930921916,2570800.580864472,E0024872,40.74,18.59,R00281,beyond the 45 m tertiary run
1116975,455214.32641443255,2570029.2223200686,E0001978,42.75,21.92,R00009,beyond the 45 m tertiary run
1117068,456119.7180472392,2569130.213527243,E0035210,38.67,19.44,R00490,beyond the 45 m tertiary run
1117226,454164.35500616045,2571093.2447798173,E0024042,50.89,33.8,R00271,beyond the 45 m tertiary run
1117230,454356.4971412074,2571178.030580418,E0023908,33.03,29.36,R00268,beyond the 45 m tertiary run
1117234,454370.9497442857,2571262.356722489,E0023909,26.42,22.95,R00269,beyond the 45 m tertiary run
1117239,454278.9764992913,2571207.3870677603,E0023904,12.73,5.92,R00266,beyond the 45 m tertiary run
1117257,459289.61610748275,2569128.992800914,E0027512,23.85,22.41,R00335,beyond the 45 m tertiary run
1117268,459313.0628262437,2569206.4746672544,E0028096,25.13,18.93,R00350,beyond the 45 m tertiary run
1117275,459323.7479231746,2569263.4231769703,E0028094,44.36,20.08,R00349,beyond the 45 m tertiary run
1117404,456670.6231336102,2572308.3614795683,E0034744,24.59,19.82,R00482,beyond the 45 m tertiary run
1117567,456590.9236746612,2572242.0196127263,E0034208,23.68,21.27,R00466,beyond the 45 m tertiary run
