fid,tariff,x,y,lon,lat,plot_name,plot_class,moh_class,build_st
32059,CRT Time of Use,56.5,23.2,56.511713,23.24941,,,,
32082,CRT Seasonal,56.5,23.2,56.526973,23.230705,Commercial,Residential,99,EXisting
32389,CRT Time of Use,56.6,23.3,56.615966,23.317538,Commercial,Residential,1,EXisting
32392,CRT Time of Use,56.6,23.3,56.615966,23.317538,Commercial,Residential,1,EXisting
32396,CRT Time of Use,56.6,23.3,56.615966,23.317538,Commercial,Residential,1,EXisting
32398,CRT Time of Use,56.6,23.3,56.615966,23.317538,Commercial,Residential,1,EXisting
32399,CRT Time of Use,56.6,23.3,56.615966,23.317538,Commercial,Residential,1,EXisting
32401,CRT Time of Use,56.6,23.3,56.615966,23.317538,Commercial,Residential,1,EXisting
32405,CRT Time of Use,56.6,23.3,56.615966,23.317538,Commercial,Residential,1,EXisting
32421,CRT Seasonal,56.5,23.2,56.513298,23.249497,Commercial,Commercial,3,EXisting
32495,CRT Seasonal,56.5,23.2,56.497303,23.228387,Commercial,Residential,1,EXisting
32524,CRT Time of Use,56.5,23.2,56.465679,23.150684,CRT Time of Use,Residential,1,EXisting
32544,CRT Seasonal,56.4,23.3,56.384732,23.273962,CRT Seasonal,Residential,0,EXisting
32578,CRT Seasonal,56.6,23.2,56.590514,23.223982,,,,
32644,CRT Seasonal,56.5,23.1,56.474036,23.144359,,,,
32737,CRT Seasonal,56.5,23.2,56.492818,23.21619,Commercial,Residential,0,EXisting
32738,CRT Seasonal,56.5,23.2,56.492818,23.21619,Commercial,Residential,0,EXisting
32740,CRT Seasonal,56.5,23.2,56.492818,23.21619,Commercial,Residential,0,EXisting
32756,CRT Seasonal,56.7,23.2,56.661178,23.20377,Additional Account Tariff,Residential,5,EXisting
32767,CRT Seasonal,56.6,23.2,56.611218,23.216352,Primary Account Tariff,Residential,5,EXisting
32844,CRT Seasonal,56.5,23.2,56.458466,23.217383,,,,
32855,CRT Seasonal,56.6,23.2,56.56647,23.22018,,,,
32857,CRT Seasonal,56.6,23.2,56.626149,23.213613,Primary Account Tariff,Residential,5,EXisting
32864,CRT Seasonal,56.5,23.2,56.54083,23.207983,,,,
32886,CRT Seasonal,56.5,23.2,56.490303,23.214898,,,,
32915,CRT Seasonal,56.6,23.3,56.613418,23.329369,,,,
32917,CRT Time of Use,56.6,23.3,56.618593,23.311105,Primary Account Tariff,Residential,1,EXisting
32944,CRT Seasonal,56.5,23.2,56.515272,23.224625,Primary Account Tariff,Residential,0,EXisting
32946,CRT Seasonal,56.5,23.2,56.515272,23.224625,Primary Account Tariff,Residential,0,EXisting
32948,CRT Seasonal,56.5,23.2,56.515272,23.224625,Primary Account Tariff,Residential,0,EXisting
33008,CRT Seasonal,56.4,23.3,56.3844,23.273603,CRT Seasonal,Residential,0,EXisting
33393,CRT Time of Use,56.6,23.3,56.622282,23.34106,,,,
33741,CRT Time of Use,56.5,23.2,56.486033,23.212256,,,,
33806,CRT Time of Use,56.5,23.2,56.511609,23.21613,Commercial,Residential,0,EXisting
